gsfonts 20200910-2
gsl 2.7-1
gsm 1.0.19-1
gspell 1.8.4-1
gssdp 1.2.3-1
gssproxy 0.8.4-1
gst-libav 1.18.4-1
gst-plugins-bad 1.18.4-11
gst-plugins-bad-libs 1.18.4-11
gst-plugins-base 1.18.4-1
gst-plugins-base-libs 1.18.4-1
gst-plugins-good 1.18.4-2
gst-plugins-ugly 1.18.4-2
gstreamer 1.18.4-1
gtest 1.11.0-1
gtk-engine-murrine 0.98.2-4
gtk-update-icon-cache 1:4.2.1-2
gtk2 2.24.33-2
gtk3 1:3.24.30-1
gtkmm 1:2.24.5-4
gtkmm3 3.24.5-2
gtksourceview-pkgbuild 4+1+g69f930f-1
gtksourceview3 3.24.11+28+g73e57b57-1
gtksourceview4 4.8.1-1
gts 0.7.6.121130-2
gufw 21.04.0-1
guile 2.2.7-1
gupnp 1.2.7-1
gupnp-igd 1.2.0-1
gutenprint 5.3.4-1
gvfs 1.48.1-1
gvfs-afc 1.48.1-1
gvfs-gphoto2 1.48.1-1
gvfs-mtp 1.48.1-1
gvfs-smb 1.48.1-1
gzip 1.10-3
harfbuzz 2.8.2-1
harfbuzz-icu 2.8.2-1
haskell-aeson 1.5.6.0-32
haskell-annotated-wl-pprint 0.7.0-23
haskell-ansi-terminal 0.11-130
haskell-ansi-wl-pprint 0.6.9-190
haskell-appar 0.1.8-11
haskell-asn1-encoding 0.9.6-117
haskell-asn1-parse 0.9.5-117
haskell-asn1-types 0.3.4-96
haskell-assoc 1.0.2-85
haskell-async 2.2.3-47
haskell-attoparsec 0.14.1-16
haskell-attoparsec-iso8601 1.0.2.0-49
haskell-auto-update 0.1.6-169
haskell-base-compat 0.11.2-5
haskell-base-compat-batteries 0.11.2-124
haskell-base-orphans 0.8.4-111
haskell-base16-bytestring 1.0.1.0-53
haskell-base64-bytestring 1.2.0.1-60
haskell-basement 0.0.12-2
haskell-bifunctors 5.5.11-10
haskell-blaze-builder 0.4.2.1-3
haskell-blaze-html 0.9.1.2-116
haskell-blaze-markup 0.8.2.8-22
haskell-byteable 0.1.1-23
haskell-byteorder 1.0.4-22
haskell-casa-client 0.0.1-286
haskell-casa-types 0.0.2-106
haskell-case-insensitive 1.2.1.0-96
haskell-cereal 0.5.8.1-10
haskell-clock 0.8.2-64
haskell-cmdargs 0.10.21-2
haskell-colour 2.3.5-188
haskell-comonad 5.0.8-89
haskell-conduit 1.3.4.1-25
haskell-conduit-extra 1.3.5-140
haskell-connection 0.3.1-130
haskell-constraints 0.13-21
haskell-contravariant 1.5.3-3
haskell-cookie 0.4.5-10
haskell-cryptohash-sha256 0.11.102.0-38
haskell-cryptonite 0.29-10
haskell-cryptonite-conduit 0.2.2-391
haskell-data-default-class 0.1.2.0-22
haskell-data-fix 0.3.1-32
haskell-digest 0.0.1.2-23
haskell-distributive 0.6.2.1-93
haskell-dlist 1.0-89
haskell-easy-file 0.2.2-17
haskell-echo 0.1.4-2
haskell-ed25519 0.0.5.0-22
haskell-either 5.0.1.1-158
haskell-enclosed-exceptions 1.0.3-143
haskell-extra 1.7.9-64
haskell-fast-logger 3.0.5-10
haskell-file-embed 0.0.14.0-2
haskell-filelock 0.1.1.5-85
haskell-filtrable 0.1.6.0-76
haskell-fsnotify 0.3.0.1-209
haskell-generic-deriving 1.14-93
haskell-githash 0.1.6.0-3
haskell-glob 0.10.1-85
haskell-hackage-security 0.6.0.1-212
haskell-hashable 1.3.2.0-11
haskell-hi-file-parser 0.1.2.0-13
haskell-hinotify 0.4.1-64
haskell-hourglass 0.2.12-139
haskell-hpack 0.34.4-38
haskell-http-api-data 0.4.3-53
haskell-http-client 0.7.8-16
haskell-http-client-tls 0.3.5.3-428
haskell-http-conduit 2.3.8-44
haskell-http-download 0.2.0.0-293
haskell-http-types 0.12.3-167
haskell-indexed-traversable 0.1.1-4
haskell-infer-license 0.2.0-140
haskell-integer-logarithms 1.0.3.1-4
haskell-iproute 1.7.11-20
haskell-libyaml 0.1.2-141
haskell-lift-type 0.1.0.1-2
haskell-lifted-async 0.10.2-21
haskell-lifted-base 0.2.3.12-157
haskell-lukko 0.1.1.3-20
haskell-megaparsec 9.0.1-57
haskell-memory 0.16.0-10
haskell-microlens 0.4.12.0-3
haskell-microlens-mtl 0.2.0.1-13
haskell-microlens-th 0.4.3.10-2
haskell-mime-types 0.1.0.9-12
haskell-mintty 0.1.2-16
haskell-monad-control 1.0.2.3-157
haskell-monad-logger 0.3.36-88
haskell-monad-loops 0.4.3-23
haskell-mono-traversable 1.0.15.1-138
haskell-mustache 2.3.1-333
haskell-neat-interpolation 0.5.1.2-134
haskell-network 3.1.2.2-1
haskell-network-uri 2.6.4.1-26
haskell-old-locale 1.0.0.7-28
haskell-old-time 1.1.0.3-28
haskell-only 0.1-20
haskell-open-browser 0.2.1.0-24
haskell-optparse-applicative 0.16.1.0-118
haskell-optparse-generic 1.4.4-61
haskell-optparse-simple 0.1.1.3-169
haskell-pantry 0.5.2.2-5
haskell-parser-combinators 1.3.0-2
haskell-path 0.8.0-132
haskell-path-io 1.6.3-3
haskell-path-pieces 0.2.1-28
haskell-pem 0.2.4-173
haskell-persistent 2.13.0.2-7
haskell-persistent-sqlite 2.13.0.3-7
haskell-primitive 0.7.1.0-139
haskell-profunctors 5.6.2-27
haskell-project-template 0.2.1.0-116
haskell-random 1.2.0-233
haskell-regex-applicative 0.3.4-86
haskell-regex-applicative-text 0.1.0.1-106
haskell-resource-pool 0.2.3.2-186
haskell-resourcet 1.2.4.2-88
haskell-retry 0.8.1.2-118
haskell-rio 0.1.20.0-33
haskell-rio-orphans 0.1.2.0-18
haskell-rio-prettyprint 0.1.1.0-120
haskell-safe 0.3.19-6
haskell-safe-exceptions 0.1.7.1-78
haskell-scientific 0.3.7.0-6
haskell-semigroupoids 5.3.5-45
haskell-shelly 1.9.0-83
haskell-silently 1.2.5.1-11
haskell-socks 0.6.1-118
haskell-split 0.2.3.4-138
haskell-splitmix 0.1.0.3-119
haskell-statevar 1.2.1-3
haskell-stm-chans 3.0.0.4-25
haskell-streaming-commons 0.2.2.1-87
haskell-strict 0.4.0.1-59
haskell-syb 0.7.2.1-57
haskell-system-filepath 0.4.14-139
haskell-tagged 0.8.6.1-3
haskell-tar 0.5.1.1-65
haskell-tar-conduit 0.3.2-203
haskell-temporary 1.3-271
haskell-text-metrics 0.3.0-142
haskell-th-abstraction 0.4.2.0-3
haskell-th-compat 0.1.2-19
haskell-th-expand-syns 0.4.8.0-19
haskell-th-lift 0.8.2-8
haskell-th-lift-instances 0.1.18-58
haskell-th-reify-many 0.1.9-53
haskell-these 1.1.1.1-86
haskell-time-compat 1.9.6-6
haskell-tls 1.5.5-34
haskell-transformers-base 0.4.5.2-155
haskell-transformers-compat 0.6.6-4
haskell-type-equality 1-10
haskell-typed-process 0.2.6.0-120
haskell-unicode-transforms 0.3.7.1-70
haskell-unix-compat 0.5.3-3
haskell-unix-time 0.4.7-121
haskell-unliftio 0.2.18-3
haskell-unliftio-core 0.2.0.1-7
haskell-unordered-containers 0.2.14.0-6
